,channel_id,channel_name,channel_description,is_family_friendly,is_paid_membership,channel_keywords,channel_num_subscribers,CreatedDate,CreatedDatetime
0,UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO,"The Weeknd on Vevo - Official Music Videos, Live Performances, Interviews and more...",True,False,vevo music video official,115000,2022-06-04,2022-06-04 10:33:42
0,UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,"Welcome to the OFFICIAL home of Britains Got Talent on YouTube.

Watch your favourite highlights from the current or previous series of Britains Got Talent, and make sure you subscribe so you dont miss a thing.",True,False,"""britain's got talent 2017"" ""britains got talent"" britains got talent 2016 britain's britians ""simon cowell"" simon cowell ""alesha dixon"" alesha dixon ""david ...",18300000,2022-06-04,2022-06-04 10:33:46
0,UCSZwSipmufiBGjFk9q3rD-A,Field Days,This space is all about having FUN!,True,False,"fishing spearfishing adventure hunting fish camping catchandcook survival ""solo survival""",1180000,2022-06-04,2022-06-04 10:33:51
0,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the worlds leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. Youre welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TEDs videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy (https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy). For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",True,False,"TED talks ideas worth spreading technology entertainment design ""TED Conferences"" ""TED Talks"" ""TED talks"" ""ted talks"" ted ""TED Talk"" ""TED talk"" ""ted talk"" sc...",21300000,2022-06-04,2022-06-04 10:33:56
0,UCbzRzJNHx7ZLlJML9BjZQVQ,Top Rank Boxing,"Las Vegas-based Top Rank Boxing is the global premiere promotions company for the sport of boxing. 

This is Top Rank Boxings Official Youtube channel.",True,False,"video, sharing, camera phone, video phone, free, upload",1590000,2022-06-04,2022-06-04 10:34:01
0,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,"Double, double toil and trouble!

Team Saf:
Safiya Nygaard
Tyler Williams
Dave Szamet
Nez Covington
Carly Dawson
Allie Bennett
Jordan Schneier
Dayana Espinoza
Hannah Bruce
Rachel Faulkner
",True,False,"video, sharing, camera phone, video phone, free, upload",9410000,2022-06-04,2022-06-04 10:34:07
0,UCz6PEeVLG1TL6jMRTvSLm4g,Matt Talks Tech,"If you want the latest Apple News, Reviews, Comparisons and some guides along the way for Massive Apple Fans you have come to the right place! I love to provide my viewers reviews and comparisons on all Apple devices including news on the latest iPhones, iPads, Apple Watches, AirPods, MacBook’s and iMacs. 
This channel also provides you the best information in what Software or Apps, Hardware accessories and devices that can be used or played on Apple Products as well.
I also love to compare Apple devices to other great technology companies out there like Android, Windows and devices from Samsung Microsoft, Huawei, OnePlus, Xiaomi and other brands.

If you would like me to review a product for you, please contact me via email.

https://space.bilibili.com/1918532262
",True,False,"macbook apple pro air mac mini imac technology how to ipad iphone fix ""what is the best"" ""mac os"" ""release date and price"" ""release date"" price ""what is"" mat...",384000,2022-06-04,2022-06-04 10:34:10
0,UC2O6HDtMOZf9FkUAepz9Atg,Noel Philips,"Im a full time travel vlogger, reviewer and trip reporter.  I travel around the world making videos of my travel adventures, trying out the best and worst the airline and rail industry has to offer.  I release a new video from my crazy adventures every Sunday, so hit subscribe so you dont miss any.

MY OTHER CHANNELS:

Pilot Vlogs: https://www.youtube.com/channel/UCFeMrjkHnXPlZKTbg2-05jg
Media/PR/Brand collabs: Please get in touch.
",True,False,"""inflight video"" ""aviation videos"" ""full flight video"" takeoff landing onboard ""trip report"" aviation airline flight ""noel philips"" ""airline reviews"" ""travel...",326000,2022-06-04,2022-06-04 10:34:13
0,UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,"The new album = is out now - listen here: https://es.lnk.to/equals

Ed Sheeran may be the quintessential pop star of the 2010s: an internationally acclaimed, multi-award winning singer/songwriter who seems to acknowledge no boundaries between styles or eras with elements of folk, hip-hop, pop, dance, soul, and rock woven throughout his music. 

 His incredible catalogue includes the studio albums ‘+’ (plus), ‘x’ (multiply) and ‘÷’ (divide) which spawned hit singles such as ‘The A team’ , ’Lego House’, ‘Sing;, ‘Thinking Out Loud’, ‘Photograph’, ‘Shape Of You’, ‘Castle on The Hill’ and ‘Perfect’. 
 
In 2019, Ed Sheeran released the genre-spanning ‘No.6 Collaborations Project’ which featured a wide-range of artists including ‘Justin Bieber’, ‘Camilla’ Cabello’, ‘Travis Scott’, ‘Eminem’, ‘Cardi B, ‘Paulo Londra’, ‘Bruno Mars’ and ‘Stormzy’ amongst many others, producing hits such as ‘I Don’t Care’, ‘Beautiful People’, ‘South of The Border’ and ‘Take Me Back To London’.
",True,False,"""Ed Sheeran"" ""Ed Sheeran Songs"" ""Ed Sheeran Official Music videos"" ""Ed Sheeran Live"" ""Ed Sheeran Acoustic"" ""Ed Sheeran Lyrics"" ""Official Music Video"" ""Shape ...",51900000,2022-06-04,2022-06-04 10:34:19
0,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,"Marvel Entertainment, LLC, a wholly-owned subsidiary of The Walt Disney Company, is one of the worlds most prominent character-based entertainment companies, built on a proven library of over 8,000 characters featured in a variety of media over seventy years. Marvel utilizes its character franchises in entertainment, licensing and publishing.",True,False,"Marvel Comics ""Comic Books"" Spiderman Spider-Man ""Captain America"" X-Men ""Iron Man"" Hulk Thor Avengers Ultron Movies",19100000,2022-06-04,2022-06-04 10:34:23
0,UChmpTxQ0Gp8KEJKsqzeg9Lg,Stranger Things,"Every ending has a beginning. Vol. 1 is coming May 27. Vol. 2 is coming July 1.
",True,False,"video, sharing, camera phone, video phone, free, upload",2180000,2022-06-04,2022-06-04 10:34:27
0,UCGHZpIpAWJQ-Jy_CeCdXhMA,Cool Worlds,"Space, astronomy, exoplanets, astroengineering and the search for extraterrestrial life & intelligence.

The Cool Worlds Lab (http://coolworldslab.com), based at the Department of Astronomy, Columbia University, is a team of astronomers seeking to discover and understand alien worlds, particularly those where temperatures are cool enough for life, led by Professor David Kipping.",True,False,Astronomy Astrophysics Exoplanets,539000,2022-06-04,2022-06-04 10:34:30
0,UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX,"Subscribe to LiveNOW from FOX! https://bit.ly/3HvzKqP
Where to watch LiveNOW from FOX: https://www.livenowfox.com/ 
Follow us @livenowfox on Twitter: https://twitter.com/livenowfox

Raw & unfiltered. Watch a non-stop stream of breaking news, live events and stories across the nation. Limited commentary. No opinion. Experience LiveNOW from FOX. 
",True,False,"livestream ""breaking news"" ""livenow from fox""",2190000,2022-06-04,2022-06-04 10:34:34
0,UCZFWPqqPkFlNwIxcpsLOwew,Harry Styles,,True,False,"video, sharing, camera phone, video phone, free, upload",12900000,2022-06-04,2022-06-04 10:34:37
0,UCsRM0YB_dabtEPGPTKo-gcw,Adele,The official YouTube channel of ADELE.,True,False,"adele 19 ""chasing pavements"" grammy 21",28400000,2022-06-04,2022-06-04 10:34:40
0,UCeLHszkByNZtPKcaVXOCOQQ,Post Malone,"The official Post Malone YouTube Channel.
www.postmalone.com",True,False,"""post malone"" posty post ""austin richard post"" ""lyrics post malone"" stoney ""beerbongs and bentleys"" ""hollywoods bleeding"" beerbongs",23800000,2022-06-04,2022-06-04 10:34:46
0,UC9Z0p8W-IvB_2K_cAQdf7bg,Ashton Gleckman,"Ashton Gleckman is a composer from Indianapolis, Indiana, USA. On this YouTube channel you can find the Behind the Score series, a series of videos dedicated to analyzing film scores, original film score suites, original music, video essays, and more. ",True,False,music,33400,2022-06-04,2022-06-04 10:34:50
0,UCuCkxoKLYO_EQ2GeFtbM_bw,Half as Interesting,Education-y explainer videos that are almost good enough to watch.,True,False,"video, sharing, camera phone, video phone, free, upload",2190000,2022-06-04,2022-06-04 10:34:51
