,video_id,video_url,trending_position,trending_date,trending_datetime
0,lKrLBPmRsrM,https://youtu.be/lKrLBPmRsrM,1,2022-07-09,2022-07-09 12:37:40
1,uwllF3lvGLQ,https://youtu.be/uwllF3lvGLQ,2,2022-07-09,2022-07-09 12:37:40
2,5mYDyxMDwaw,https://youtu.be/5mYDyxMDwaw,3,2022-07-09,2022-07-09 12:37:40
3,dYRITmpFbJ4,https://youtu.be/dYRITmpFbJ4,4,2022-07-09,2022-07-09 12:37:40
4,37cGDXk4bRo,https://youtu.be/37cGDXk4bRo,5,2022-07-09,2022-07-09 12:37:40
5,EDZ25anwgjc,https://youtu.be/EDZ25anwgjc,6,2022-07-09,2022-07-09 12:37:40
6,hxWSp-8jJuo,https://youtu.be/hxWSp-8jJuo,7,2022-07-09,2022-07-09 12:37:40
7,N4PPGuW7czQ,https://youtu.be/N4PPGuW7czQ,8,2022-07-09,2022-07-09 12:37:40
8,yPq82zClQ-g,https://youtu.be/yPq82zClQ-g,9,2022-07-09,2022-07-09 12:37:40
9,Ri_VVDbpkdY,https://youtu.be/Ri_VVDbpkdY,10,2022-07-09,2022-07-09 12:37:40
10,nEAJQ6H5dSI,https://youtu.be/nEAJQ6H5dSI,11,2022-07-09,2022-07-09 12:37:40
11,Mp7y7PqKzsE,https://youtu.be/Mp7y7PqKzsE,12,2022-07-09,2022-07-09 12:37:40
12,87nG3LuabUs,https://youtu.be/87nG3LuabUs,13,2022-07-09,2022-07-09 12:37:40
13,uRfnVY28x1k,https://youtu.be/uRfnVY28x1k,14,2022-07-09,2022-07-09 12:37:40
14,uRHjd8GZc78,https://youtu.be/uRHjd8GZc78,15,2022-07-09,2022-07-09 12:37:40
15,ZwoOzdHlq9w,https://youtu.be/ZwoOzdHlq9w,16,2022-07-09,2022-07-09 12:37:40
16,JEAu7ipDojo,https://youtu.be/JEAu7ipDojo,17,2022-07-09,2022-07-09 12:37:40
17,U9n-2RxMfa4,https://youtu.be/U9n-2RxMfa4,18,2022-07-09,2022-07-09 12:37:40
18,7PPOZ9UmrOA,https://youtu.be/7PPOZ9UmrOA,19,2022-07-09,2022-07-09 12:37:40
19,h6epv1BfL-c,https://youtu.be/h6epv1BfL-c,20,2022-07-09,2022-07-09 12:37:40
20,lW7VOqIo33Y,https://youtu.be/lW7VOqIo33Y,21,2022-07-09,2022-07-09 12:37:40
21,fgy4WZ9ta7E,https://youtu.be/fgy4WZ9ta7E,22,2022-07-09,2022-07-09 12:37:40
22,jiwrNIx2b78,https://youtu.be/jiwrNIx2b78,23,2022-07-09,2022-07-09 12:37:40
23,t6ySmLdemic,https://youtu.be/t6ySmLdemic,24,2022-07-09,2022-07-09 12:37:40
24,AfsH6XcbRiw,https://youtu.be/AfsH6XcbRiw,25,2022-07-09,2022-07-09 12:37:40
25,PVeTDxCwGLE,https://youtu.be/PVeTDxCwGLE,26,2022-07-09,2022-07-09 12:37:40
26,iO24VRJAwVU,https://youtu.be/iO24VRJAwVU,27,2022-07-09,2022-07-09 12:37:40
27,dIQGI36BxDE,https://youtu.be/dIQGI36BxDE,28,2022-07-09,2022-07-09 12:37:40
28,lZcGd0mrEpo,https://youtu.be/lZcGd0mrEpo,29,2022-07-09,2022-07-09 12:37:40
29,4dESmtswQ58,https://youtu.be/4dESmtswQ58,30,2022-07-09,2022-07-09 12:37:40
30,ESlIywxS5hY,https://youtu.be/ESlIywxS5hY,31,2022-07-09,2022-07-09 12:37:40
31,rlqWZy7A7ds,https://youtu.be/rlqWZy7A7ds,32,2022-07-09,2022-07-09 12:37:40
