,channel_id,video_id,number_of_views,number_of_likes,CreatedDate,CreatedDatetime
0,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1823912821,11004592,2022-05-20,2022-05-20 19:55:39
0,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,23841749,611919,2022-05-20,2022-05-20 19:55:44
0,UCxE5jEls-T0QtlTHT8lI1lw,x4drP6Q6p30,5273940,240905,2022-05-20,2022-05-20 19:55:47
0,UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,55919891,2811498,2022-05-20,2022-05-20 19:55:50
0,UCSZwSipmufiBGjFk9q3rD-A,sPA3XIbho_A,1803875,45875,2022-05-20,2022-05-20 19:55:56
0,UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,57967378,2404168,2022-05-20,2022-05-20 19:55:59
0,UCAuUUnT6oDeKwE6v1NGQxug,YRvf00NooN8,7265253,146645,2022-05-20,2022-05-20 19:56:02
0,UCbzRzJNHx7ZLlJML9BjZQVQ,b4F0YBnVdno,2807143,31040,2022-05-20,2022-05-20 19:56:08
0,UCbAwSkqJ1W_Eg7wr3cp5BUA,XKDhq2UcjIM,2497026,152633,2022-05-20,2022-05-20 19:56:11
0,UCz6PEeVLG1TL6jMRTvSLm4g,aaPorKHXem8,1012750,84381,2022-05-20,2022-05-20 19:56:17
0,UC2O6HDtMOZf9FkUAepz9Atg,offDs649-mw,284989,7334,2022-05-20,2022-05-20 19:56:21
0,UC0C-w0YjGpqDXGB8IHb662A,Z_MvkyuOJgk,18688597,528552,2022-05-20,2022-05-20 19:56:27
0,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,13255283,572010,2022-05-20,2022-05-20 19:56:30
0,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,40107842,1741375,2022-05-20,2022-05-20 19:56:34
0,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,21153935,910664,2022-05-20,2022-05-20 19:56:37
0,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1617720,49916,2022-05-20,2022-05-20 19:56:40
0,UCvbki_2_V6qLvezSxwo13mg,bNhGDDUnNE8,4657618,99482,2022-05-20,2022-05-20 19:56:46
0,UCJg9wBPyKMNA5sRDnvzmkdg,EUtqdkj2Mg0,2056047,23136,2022-05-20,2022-05-20 19:56:49
0,UCbOCbp5gXL8jigIBZLqMPrw,H5v3kku4y6Q,130561026,4242745,2022-05-20,2022-05-20 19:56:54
0,UComP_epzeKzvBX156r6pm1Q,X-yIEMduRXk,144122391,1174666,2022-05-20,2022-05-20 19:57:01
0,UCOhtMAg7xh8wv_wUHMgFc-Q,Tc0tLGWIqxA,60061142,1094331,2022-05-20,2022-05-20 19:57:04
0,UC9Z0p8W-IvB_2K_cAQdf7bg,4Q2YBKFDXjQ,561904,14202,2022-05-20,2022-05-20 19:57:07
0,UCuCkxoKLYO_EQ2GeFtbM_bw,UA6UythLlEI,2462426,90119,2022-05-20,2022-05-20 19:57:10
0,UC_SvYP0k05UKiJ_2ndB02IA,Rg3dBosfZ3Y,310231,9436,2022-05-20,2022-05-20 19:57:17
0,UC7cs8q-gJRlGwj4A8OmCmXg,xKdtP3IZbnU,7943,255,2022-05-20,2022-05-20 19:57:26
0,UCTrQ7HXWRRxr7OsOtodr2_w,m8b1y98Ffi8,16270,189,2022-05-20,2022-05-20 19:57:29
0,UCoMdktPbSTixAyNGwb-UYkQ,2kblJAvj8OE,153944,1847,2022-05-20,2022-05-20 19:57:33
0,UCupvZG-5ko_eiXAupbDfxWw,L643uai6k2w,443051,6358,2022-05-20,2022-05-20 19:57:36
0,UCqTwKvjbTENZDGbz2si47ag,-ukm0Y_VhgY,1669174,47564,2022-05-20,2022-05-20 19:57:42
0,UCfzlCWGWYyIQ0aLC5w48gBQ,q59wap1ELQ4,303846,8229,2022-05-20,2022-05-20 19:57:47
